GAME_ID,TEAM_ABBREVIATION,POSITION_GROUP,PTS,ROLLING_AVG_PTS,PTS_DIFF,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF
22300007,POR,C,16,15.228132781710162,0.7718672182898381,,,,,,
22300007,POR,F,31,27.56930693069307,3.430693069306926,,,,,,
22300007,POR,F,31,28.55416560459599,2.445834395404006,,,,,,
22300007,POR,G,68,64.80321782178218,3.1967821782178163,,,,,,
22300007,POR,G,68,65.72092704064626,2.2790729593537407,,,,,,
22300008,DET,C,4,9.532872996509012,-5.5328729965090115,,,,,,
22300008,DET,C,4,8.427415098087861,-4.427415098087861,,,,,,
22300008,DET,F,22,22.628601237204688,-0.6286012372046876,,,,,,
22300008,DET,F,22,22.50300786047913,-0.5030078604791299,,,,,,
22300008,DET,G,69,73.69815534335325,-4.69815534335325,,,,,,
22300008,DET,G,69,72.75947250432978,-3.7594725043297785,,,,,,
22300008,PHI,C,33,32.80727376936763,0.1927262306323669,,,,,,
